# Curated GGUF catalog for llama.cpp. Resource figures are practical planning estimates, not guarantees.
# id	task	family	params_b	active_b	quant	file_mib	min_ram_gib	recommended_ram_gib	full_vram_gib	recommended_cores	context_k	license	hf_repo	file_match	mmproj_match	notes
id	task	family	params_b	active_b	quant	file_mib	min_ram_gib	recommended_ram_gib	full_vram_gib	recommended_cores	context_k	license	hf_repo	file_match	mmproj_match	notes
qwen3-30b-a3b-q4_k_m	Chat/MoE	Qwen3 MoE	30.5	3.3	Q4_K_M	18400	22	32	21	8-16	40	Apache-2.0	bartowski/Qwen_Qwen3-30B-A3B-GGUF	*Q4_K_M.gguf	-	MoE model with about 3.3B active parameters but all expert weights must fit RAM/VRAM.
llama3.2-1b-instruct-q4_k_m	Chat	Llama 3.2	1.2	1.2	Q4_K_M	810	2	4	2	2-4	128	Llama-3.2-Community	bartowski/Llama-3.2-1B-Instruct-GGUF	*Q4_K_M.gguf	-	Compact English-centric instruction model; review Meta's license before redistribution.
llama3.2-3b-instruct-q4_k_m	Chat	Llama 3.2	3.2	3.2	Q4_K_M	2050	4	8	4	4-8	128	Llama-3.2-Community	bartowski/Llama-3.2-3B-Instruct-GGUF	*Q4_K_M.gguf	-	Reliable small assistant with broad tooling support.
llama3.1-8b-instruct-q4_k_m	Chat	Llama 3.1	8.0	8.0	Q4_K_M	5000	8	16	7	6-12	128	Llama-3.1-Community	bartowski/Meta-Llama-3.1-8B-Instruct-GGUF	*Q4_K_M.gguf	-	Established general-purpose 8B assistant; review Meta's license.
gemma3-1b-it-q4_k_m	Chat	Gemma 3	1.0	1.0	Q4_K_M	820	2	4	2	2-4	32	Gemma	bartowski/google_gemma-3-1b-it-GGUF	*Q4_K_M.gguf	-	Small text-only Gemma model; review Google's Gemma terms.
gemma3-4b-it-q4_k_m	Chat/Vision	Gemma 3	4.3	4.3	Q4_K_M	2550	5	8	5	4-8	128	Gemma	bartowski/google_gemma-3-4b-it-GGUF	*Q4_K_M.gguf	*mmproj*-f16.gguf	Excellent compact multimodal assistant; download mmproj for image input.
gemma3-12b-it-q4_k_m	Chat/Vision	Gemma 3	12.0	12.0	Q4_K_M	7400	11	24	10	8-16	128	Gemma	bartowski/google_gemma-3-12b-it-GGUF	*Q4_K_M.gguf	*mmproj*-f16.gguf	High-quality multimodal model for larger desktops; mmproj adds memory and disk usage.
phi4-mini-instruct-q4_k_m	Chat/Code	Phi-4 Mini	3.8	3.8	Q4_K_M	2550	5	8	4	4-8	128	MIT	bartowski/microsoft_Phi-4-mini-instruct-GGUF	*Q4_K_M.gguf	-	Compact Microsoft instruction model with strong code and reasoning behavior.
phi4-14b-q4_k_m	Chat/Reasoning	Phi-4	14.7	14.7	Q4_K_M	9270	13	24	12	8-16	16	MIT	bartowski/phi-4-GGUF	*Q4_K_M.gguf	-	High-quality dense model; context and KV cache can push total memory well beyond the weight file.
mistral7b-instruct-v0.3-q4_k_m	Chat	Mistral 7B	7.3	7.3	Q4_K_M	4370	7	12	6	6-10	32	Apache-2.0	bartowski/Mistral-7B-Instruct-v0.3-GGUF	*Q4_K_M.gguf	-	Fast, established instruction model with broad language support.
mistral-nemo-12b-instruct-q4_k_m	Chat	Mistral Nemo	12.2	12.2	Q4_K_M	7660	11	24	10	8-16	128	Apache-2.0	bartowski/Mistral-Nemo-Instruct-2407-GGUF	*Q4_K_M.gguf	-	Large-vocabulary multilingual 12B model.
deepseek-r1-distill-qwen-1.5b-q4_k_m	Reasoning	DeepSeek R1 Distill	1.5	1.5	Q4_K_M	1120	3	6	3	4-6	128	MIT	bartowski/DeepSeek-R1-Distill-Qwen-1.5B-GGUF	*Q4_K_M.gguf	-	Small reasoning-focused distilled checkpoint; answers can be verbose.
deepseek-r1-distill-qwen-7b-q4_k_m	Reasoning	DeepSeek R1 Distill	7.6	7.6	Q4_K_M	4700	8	16	7	6-12	128	MIT	bartowski/DeepSeek-R1-Distill-Qwen-7B-GGUF	*Q4_K_M.gguf	-	Good local reasoning option for 16 GiB systems.
deepseek-r1-distill-qwen-14b-q4_k_m	Reasoning	DeepSeek R1 Distill	14.8	14.8	Q4_K_M	9200	13	24	12	8-16	128	MIT	bartowski/DeepSeek-R1-Distill-Qwen-14B-GGUF	*Q4_K_M.gguf	-	Higher-quality reasoning model with substantial memory requirements.
qwen2.5-coder-1.5b-instruct-q4_k_m	Code	Qwen2.5 Coder	1.5	1.5	Q4_K_M	1050	3	6	3	4-6	32	Apache-2.0	bartowski/Qwen2.5-Coder-1.5B-Instruct-GGUF	*Q4_K_M.gguf	-	Small code-completion and instruction model.
qwen2.5-coder-7b-instruct-q4_k_m	Code	Qwen2.5 Coder	7.6	7.6	Q4_K_M	4700	8	16	7	6-12	32	Apache-2.0	bartowski/Qwen2.5-Coder-7B-Instruct-GGUF	*Q4_K_M.gguf	-	Strong coding assistant suitable for an average 16 GiB desktop.
granite3.3-2b-instruct-q4_k_m	Chat/Code	Granite 3.3	2.5	2.5	Q4_K_M	1590	4	8	3	4-6	128	Apache-2.0	bartowski/ibm-granite_granite-3.3-2b-instruct-GGUF	*Q4_K_M.gguf	-	Compact IBM instruction model with enterprise-friendly licensing.
granite3.3-8b-instruct-q4_k_m	Chat/Code	Granite 3.3	8.0	8.0	Q4_K_M	5100	8	16	7	6-12	128	Apache-2.0	bartowski/ibm-granite_granite-3.3-8b-instruct-GGUF	*Q4_K_M.gguf	-	Larger Granite instruction model for chat and code.
smollm2-1.7b-instruct-q4_k_m	Chat	SmolLM2	1.7	1.7	Q4_K_M	1090	3	6	3	4-6	8	Apache-2.0	bartowski/SmolLM2-1.7B-Instruct-GGUF	*Q4_K_M.gguf	-	Efficient small English model for low-resource systems.
gpt-oss-20b-mxfp4	Chat/MoE	GPT-OSS	20.9	3.6	MXFP4	12200	16	24	16	8-16	131	Apache-2.0	ggml-org/gpt-oss-20b-GGUF	*MXFP4*.gguf	-	MoE model with roughly 3.6B active parameters; all weights still consume RAM or VRAM.
qwen3-embedding-0.6b-q8_0	Embedding	Qwen3 Embedding	0.6	0.6	Q8_0	610	2	4	2	2-4	32	Apache-2.0	Qwen/Qwen3-Embedding-0.6B-GGUF	*Q8_0.gguf	-	Embedding model; run llama-server with embedding endpoints rather than chat prompting.
nomic-embed-text-v1.5-q8_0	Embedding	Nomic Embed	0.137	0.137	Q8_0	146	1	2	1	2-4	8	Apache-2.0	nomic-ai/nomic-embed-text-v1.5-GGUF	*Q8_0.gguf	-	Compact text embedding model; not a chat model.
bge-small-en-v1.5-q8_0	Embedding	BGE Small	0.033	0.033	Q8_0	38	1	2	1	2-4	0.5	MIT	CompendiumLabs/bge-small-en-v1.5-gguf	*Q8_0.gguf	-	Very small English embedding model; not a chat model.
